ID,RPD,RPE,TIME
27120,4.83656,20.7852,56738.5
27220,4.62689,20.5233,56069
27320,4.37586,20.1966,56400.4
27420,4.53318,20.4187,57096.5
27520,4.54584,20.4425,57423.5
27620,4.54772,20.4148,57251.7
27720,4.44142,20.2953,57447.2
27820,4.77736,20.7006,57635.5
27920,4.75293,20.6804,57710.2
28020,4.92952,20.8657,58009.2
28120,4.63634,20.5249,58105.8
28220,4.63283,20.5191,58634.8
28320,4.5168,20.4012,58493.9
28420,4.45704,20.3164,58782.4
28520,4.69407,20.5908,59038
28620,4.77694,20.7004,59626.9
28720,4.5048,20.3648,59848.4
28820,4.4728,20.3312,61784.3
28920,4.70598,20.6083,60146.8
29020,4.58088,20.4565,60336.4
29120,4.64958,20.5313,60584.9
29220,4.55668,20.426,60497.9
29320,4.55545,20.4509,61526.6
29420,4.68602,20.5839,61806.3
29520,4.72924,20.6435,61428.3
29620,4.61721,20.5078,61292.7
29720,4.81191,20.7339,61520.3
29820,4.55759,20.4333,62274.4
29920,4.61786,20.5351,62930.2
30020,4.6898,20.6147,63950.3
30120,4.53856,20.4116,63432.4
30220,4.30279,20.1414,63521.9
30320,4.61256,20.5069,63851.7
30420,4.63003,20.5186,62900.6
30520,4.59407,20.4928,63039.9
30620,4.58451,20.4774,63711.7
30720,4.63081,20.5176,63597.1
30820,4.74145,20.6527,64120.7
30920,4.6205,20.5099,64410.3
31020,4.50283,20.3747,65051.1
31120,4.39211,20.251,64617
31220,4.45455,20.3219,66011.5
31320,4.59973,20.4995,64828.3
31420,4.61397,20.496,65005.8
31520,4.57878,20.4562,65864.4
31620,4.70196,20.6068,66135.8
31720,4.6635,20.5779,65171.4
31820,4.58405,20.4628,65347.4
31920,4.66299,20.569,66677.1
32020,4.57497,20.4752,66407.9
32120,4.74439,20.6517,66221.5
32220,4.59137,20.503,66539.4
32320,4.59512,20.4916,66621.2
32420,4.70677,20.6112,67683.8
32520,4.72781,20.6254,66936
32620,4.64275,20.5663,67259
32720,4.58193,20.4552,67688.5
32820,4.69984,20.6049,68167.7
32920,4.73892,20.6713,67996.7
33020,4.83349,20.7873,68582.6
33120,4.67535,20.5774,68506.9
33220,4.61852,20.4929,68579.7
33320,4.66414,20.5535,68609.9
33420,4.52946,20.4028,68775.2
33520,4.75686,20.6702,68972.1
33620,4.66713,20.569,70038.7
33720,4.63862,20.5303,70099.3
33820,4.73335,20.6454,69760.7
33920,4.73115,20.6303,69861.4
34020,4.73699,20.6562,70328.6
34120,4.67944,20.5868,70939.3
34220,4.73943,20.6559,71169.6
34320,4.65472,20.5476,70693.5
34420,4.65873,20.5606,71037.4
34520,4.69377,20.5978,71338.1
34620,4.7529,20.6757,71359.3
34720,4.66553,20.5828,71830.3
34820,4.70192,20.5974,71800.3
34920,4.56867,20.4572,72395.4
35020,4.50196,20.3882,73315.4
35120,4.61779,20.5201,72417.5
35220,4.62206,20.522,72695.4
35320,4.6504,20.5451,73105
35420,4.70387,20.6096,73542.7
35520,4.73516,20.6527,76197.7
35620,4.56598,20.452,73858
35720,4.62146,20.5218,75018.7
35820,4.57204,20.4413,96475.1
35920,4.54988,20.4242,79446.9
36020,4.52705,20.4144,74091.5
36120,4.56149,20.4583,74109.2
36220,4.65837,20.5588,74391.2
36320,4.6103,20.5059,75288.2
36420,4.53173,20.407,75333
36520,4.64139,20.539,75496.8
36620,4.52933,20.4166,75393.8
36720,4.70995,20.6121,76040.8
36820,4.5865,20.463,76099.1
36920,4.81513,20.7516,75600.9
37020,4.62086,20.5164,75669.1
37120,4.59209,20.4888,76780.7
37220,4.83656,20.7852,76723
37320,4.62689,20.5233,77452.4
37420,4.37586,20.1966,77036.9
37520,4.53318,20.4187,77308.9
37620,4.54584,20.4425,77820.2
37720,4.54772,20.4148,77955.5
37820,4.44142,20.2953,77633.4
37920,4.77736,20.7006,78703
38020,4.75293,20.6804,78468.5
38120,4.92952,20.8657,78540.8
38220,4.63634,20.5249,78384.7
38320,4.63283,20.5191,78898.1
38420,4.5168,20.4012,79028.9
38520,4.45704,20.3164,79075.8
38620,4.69407,20.5908,87675.8
38720,4.77694,20.7004,95071.2
38820,4.5048,20.3648,95526.6
38920,4.4728,20.3312,97450.6
39020,4.70598,20.6083,99125.6
39120,4.58088,20.4565,102076
39220,4.64958,20.5313,107016
39320,4.55668,20.426,107077
39420,4.55545,20.4509,96808.7
39520,4.68602,20.5839,86551.1
39620,4.72924,20.6435,82146.5
39720,4.61721,20.5078,82683.2
39820,4.81191,20.7339,83127.3
39920,4.55759,20.4333,83795.3
40020,4.61786,20.5351,83795.3
