ID,RPD,RPE,TIME
25920,3.88882,3.88882,96205.8
26020,4.46087,4.46087,89971.5
26120,4.08801,4.08801,77192.5
26220,4.33088,4.33088,95956.8
26320,4.83645,4.83645,78012.7
26420,4.21842,4.21842,86708.4
26520,4.25193,4.25193,96045.6
26620,4.26997,4.26997,76675.9
26720,4.13757,4.13757,96859.8
26820,3.92,3.92,109474
26920,4.11259,4.11259,99546.9
27020,4.66417,4.66417,78536.7
27120,4.40283,4.40283,97198
27220,4.11364,4.11364,100363
27320,3.93354,3.93354,81693.4
27420,4.76415,4.76415,89602
27520,3.72554,3.72554,89013.9
27620,4.35925,4.35925,100929
27720,4.22609,4.22609,82860.9
27820,4.19704,4.19704,84812.4
27920,4.17719,4.17719,76620.2
28020,4.47559,4.47559,89899
28120,4.30808,4.30808,101666
28220,4.69755,4.69755,83891.3
28320,4.10093,4.10093,91046.5
28420,4.19857,4.19857,111547
28520,4.03181,4.03181,77595.7
28620,4.45327,4.45327,105477
28720,4.06148,4.06148,88150.4
28820,4.93111,4.93111,93787.6
28920,4.65097,4.65097,101434
29020,4.45828,4.45828,98678.2
29120,4.1775,4.1775,97263
29220,4.02454,4.02454,97479.6
29320,4.19249,4.19249,93817.6
29420,3.80316,3.80316,92461.7
29520,4.56972,4.56972,75014.5
29620,4.23038,4.23038,101418
29720,4.38159,4.38159,105623
29820,4.05992,4.05992,98423.6
29920,3.96506,3.96506,91663.4
30020,4.5337,4.5337,80349.7
30120,4.14543,4.14543,88324.1
30220,3.43695,3.43695,88862.7
30320,3.72508,3.72508,99688.5
30420,3.99207,3.99207,92447.3
30520,4.42735,4.42735,79048.5
30620,4.19932,4.19932,102215
30720,4.44812,4.44812,84109.4
30820,4.0866,4.0866,111608
30920,3.85051,3.85051,104789
31020,4.87712,4.87712,108453
31120,4.08002,4.08002,103053
31220,3.9496,3.9496,107458
31320,4.59406,4.59406,93043.6
31420,4.18073,4.18073,99988.1
31520,4.1826,4.1826,90483
31620,4.49035,4.49035,104570
31720,4.04601,4.04601,104241
31820,4.10364,4.10364,121827
31920,4.23143,4.23143,113239
32020,3.23948,3.23948,111012
32120,4.39449,4.39449,92056.2
32220,4.7678,4.7678,89254.8
32320,4.22625,4.22625,118529
32420,4.37525,4.37525,107147
32520,4.73947,4.73947,103094
32620,4.23136,4.23136,100738
32720,3.9782,3.9782,119729
32820,4.64091,4.64091,98808.6
32920,4.43268,4.43268,126652
33020,4.23164,4.23164,140523
33120,4.24373,4.24373,101171
33220,4.69363,4.69363,110624
33320,4.15184,4.15184,89033.6
33420,4.81454,4.81454,111079
33520,3.71274,3.71274,97176.2
33620,4.23561,4.23561,112170
